,French,English
0,de,of
1,je,I
2,est,East
3,pas,not
4,le,THE
5,que,that
6,la,there
7,vous,YOU
8,tu,you
9,un,A
10,c' ,vs'
11,à,has
12,et,And
13,il,he
14,a,has
15,l',L'
16,ne,born
17,les,THE
18,j',I
19,en,in
20,on,we
21,ça,That
22,une,a
23,d',d '
24,ce,This
25,qu',that
26,pour,For
27,ai,have
28,n',not'
29,des,of the
30,qui,Who
31,mais,but
32,dans,In
33,nous,We
34,elle,She
35,me,me
36,bien,GOOD
37,si,if
38,du,of
39,y,Y
40,suis,am
41,non,No
42,t',t '
43,avec,with
44,tout,All
45,plus,more
46,mon,My
47,m',M '
48,te,you
49,au,At
50,fait,do
51,s',s'
52,oui,Yes
53,va,go
54,était,was
55,as,AS
56,faire,TO DO
57,ils,they
58,sur,on
59,quoi,What
60,se,se
61,comme,as
62,sais,know
63,être,be
64,veux,want
65,ici,here
66,ma,my
67,toi,You
68,est-ce,is it
69,dit,said
70,lui,him
71,votre,your
72,es,es
73,pourquoi,Why
74,où,Or
75,là,there
76,rien,Nothing
77,cette,this
78,sont,are
79,quand,When
80,peux,can
81,dire,say
82,son,her
83,avez,have
84,vais,go
85,alors,SO
86,ton,your
87,comment ,how
88,par,by
89,ou,Or
90,chose,thing
91,bon,Good
92,ont,have
93,merci,THANKS
94,juste,just
95,très,very
96,jamais,Never
97,été,summer
98,aussi ,Also
